Calibration (sys),Calibration (gyro),Calibration (accel),Calibration (mag),Spin (psi) [deg],Nutation (theta) [deg],Precession (phi) [deg],Angular velocity (x),Angular velocity (y),Angular velocity (z),Linear acceleration (x),Linear acceleration (y),Linear acceleration (z),Inertial acceleration (x),Inertial acceleration (y),Inertial acceleration (z),Acceleration (x),Acceleration (y),Acceleration (z),Gravity (x),Gravity (y),Gravity (z),Magnetometer (x),Magnetometer (y),Magnetometer (z),Quaternion (w),Quaternion (x),Quaternion (y),Quaternion (z),Pressure [Pa],Temperature [K],Altitude [m],Time [s]
calibration_sys,calibration_gyro,calibration_accel,calibration_mag,orientation_x,orientation_y,orientation_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,inertial_acceleration_x,inertial_acceleration_y,inertial_acceleration_z,acceleration_x,acceleration_y,acceleration_z,gravity_x,gravity_y,gravity_z,magnetometer_x,magnetometer_y,magnetometer_z,quaternion_w,quaternion_x,quaternion_y,quaternion_z,pressure,temperature,altitude,timestamp
3,3,3,3,-0.0000,-6.6178,-144.0000,-0.0297,-0.0000,-0.0000,-0.0000,1.0632,58.0339,4.5520,-6.2653,57.5247,-0.0000,2.1926,48.2992,-0.0000,1.1294,-9.7347,-14.9573,-15.8319,-38.4468,0.308502,-0.017836,0.054894,-0.949471,96883.40,285.69,379.57,1.5143
3,3,3,3,-0.0000,-6.6667,-144.0000,-0.0300,-0.0000,-0.0000,0.0000,1.0801,58.1793,4.6006,-6.3322,57.6605,0.0000,2.2178,48.4456,-0.0000,1.1377,-9.7337,-14.9572,-15.7990,-38.4603,0.308494,-0.017968,0.055299,-0.949447,96855.96,285.67,381.93,1.5429
3,3,3,3,-0.0000,-6.7158,-144.0000,-0.0300,-0.0000,-0.0000,0.0000,1.0980,58.3243,4.6500,-6.4002,57.7957,0.0000,2.2440,48.5916,-0.0000,1.1460,-9.7327,-14.9572,-15.7661,-38.4738,0.308486,-0.018100,0.055706,-0.949424,96827.98,285.66,384.34,1.5714
3,3,3,3,-0.0000,-6.7646,-144.0000,-0.0297,-0.0000,-0.0000,-0.0000,1.1168,58.4688,4.7000,-6.4690,57.9302,-0.0000,2.2711,48.7371,-0.0000,1.1543,-9.7317,-14.9572,-15.7332,-38.4871,0.308479,-0.018231,0.056111,-0.949400,96799.45,285.64,386.80,1.6000
3,3,3,3,-0.0000,-6.8129,-144.0000,-0.0292,-0.0000,-0.0000,-0.0000,1.1362,58.6126,4.7500,-6.5378,58.0640,-0.0000,2.2987,48.8818,-0.0000,1.1625,-9.7308,-14.9572,-15.7008,-38.5003,0.308471,-0.018361,0.056510,-0.949376,96770.37,285.62,389.30,1.6286
3,3,3,3,-0.0000,-6.8600,-144.0000,-0.0284,-0.0000,-0.0000,0.0000,1.1561,58.7558,4.7998,-6.6063,58.1971,0.0000,2.3266,49.0260,-0.0000,1.1706,-9.7298,-14.9572,-15.6691,-38.5132,0.308463,-0.018488,0.056901,-0.949353,96740.75,285.61,391.85,1.6571
3,3,3,3,-0.0000,-6.9058,-144.0000,-0.0274,-0.0000,-0.0000,0.0000,1.1761,58.8986,4.8488,-6.6738,58.3299,0.0000,2.3544,49.1697,-0.0000,1.1783,-9.7288,-14.9572,-15.6383,-38.5256,0.308456,-0.018611,0.057280,-0.949330,96710.59,285.59,394.45,1.6857
3,3,3,3,-0.0000,-6.9496,-144.0000,-0.0261,-0.0000,-0.0000,-0.0000,1.1959,59.0378,4.8965,-6.7395,58.4593,-0.0000,2.3817,49.3098,-0.0000,1.1857,-9.7279,-14.9571,-15.6089,-38.5375,0.308449,-0.018729,0.057643,-0.949308,96679.87,285.57,397.09,1.7143
3,3,3,3,-0.0000,-6.9911,-144.0000,-0.0246,-0.0000,-0.0000,-0.0000,1.2153,59.1394,4.9400,-6.7993,58.5518,-0.0000,2.4081,49.4124,-0.0000,1.1928,-9.7271,-14.9571,-15.5809,-38.5488,0.308442,-0.018841,0.057987,-0.949287,96648.60,285.56,399.79,1.7429
3,3,3,3,-0.0000,-7.0299,-144.0000,-0.0228,-0.0000,-0.0000,-0.0000,1.2339,59.2289,4.9806,-6.8552,58.6327,-0.0000,2.4332,49.5027,-0.0000,1.1994,-9.7262,-14.9571,-15.5548,-38.5593,0.308436,-0.018945,0.058308,-0.949267,96616.79,285.54,402.53,1.7714
